Timestamp,Name your favorite thing to do in the snow.,Name another name for Santa.,Name a strange place to see someone dressed up as Santa.,It’s not Christmas until I watch:,Name one of Santa’s reindeer that you would like to spend time with.,Name something Santa would like for Christmas.,Name the worst present to open on Christmas day.,Name Santa’s favorite cookie.,Name Santa’s second favorite snack (after cookies and milk),Name one of Santa’s reindeer that might be called the class clown.,Name a part of Santa’s suit.,Name a word that has the word “snow” in it.,Name someone you would buy a Christmas gift for.,When do you start decorating for Christmas?,Name a song Santa might use for his ringtone.,Name a type of music Santa might listen to on Christmas night while he delivers gifts.,Name an image you might find on Christmas wrapping paper.,Name a gift from “the twelve days of Christmas.”,Name something you need for wrapping gifts.,Name something Santa might do to disguise himself.,Name the most difficult present to wrap.,Name a popular Christmas Eve tradition.,Name something on every mom’s Christmas list.,Name something you might start doing on December 1?,Name a job that might require someone to work on Christmas day.,Name a way to greet someone at Christmas.,Name something you might smell at Christmas.,How many weeks before Christmas should you send out your Christmas cards?,What is your favorite thing to do on Christmas day?,Name a place that might be open on Christmas day.,Name something that should be at every Christmas party.,Name a piece of the nativity set.,Name something you can find at the North Pole.,Name someone Santa might invite to his birthday party.,"After delivering presents on Christmas, Santa probably:",Name the hardest person to buy a Christmas present for.,Name something Santa might brag about.,Name something you might decorate at Christmas.,Name something Mrs. Claus might leave the North Pole to escape from.,Name someone who was at the first Christmas in Bethlehem.,Name a song a group of carolers might sing.,Name a popular Christmas dessert.,Name a Christmas story parents might read to their kids.,Name something that is red and white.,Name some activities you might do if you ever went on a date with Santa.,"If Santa drove his sleigh on the freeway, name something he might be pulled over for.",Name something you might leave out on Christmas Eve.,Santa wouldn’t be able to work next year if he found he was allergic to:,"If Santa was back in the dating scene, name something he would need to update.",Name something people complain about at Christmas.,Name something people do the day after Christmas.,Name a holiday song you are tired of by Christmas.,We all know the Grinch stole Christmas. Name another holiday he might want to steal.,Name something you put on the Christmas tree.,Name something Mrs. Claus might do while Santa is delivering gifts.,Name something to put in your hot chocolate.,Name a place you might hide Christmas gifts.,"If Santa caught the flu, who would deliver the Christmas gifts?",Name a candy that is mostly available at Christmas time.,It’s officially Christmas season when…
10/30/2023 12:10:22,Ski,Father Christmas,Ski Slopes,The Santa Claus,Rudolph,Watch,Essentials,Chocolate Chip,Brownies,Donder,Hat,Snowman,Family/Spouse/Kids,Mid November,Jingle bells,Sleigh Ride,Snowflake,Partridge in a Pear Tree,Tape,Beach shirt,Ball,Christmas Jammies,Peace on earth,Watching Christmas Movies,Gas Station,Merry Christmas,Cinnamon,4,Look at Christmas Lights,Grocery Store,Food,Baby Jesus,Toys,Tooth Fairy,Takes a nap,Grandparents,How many calories he eats,Tree,Baking,Mary,We wish you a merry christmas,Cake,‘‘Twas the Night Before Christmas,Candy Cane,Ice Skating,Speeding,Cookies and 🥕 ,Cookies,Profile,Crowds,Clean the house/take down decor,White Christmas,Valentines Day,Ornaments,Sleep,Marshmallows ,Empty Luggage,The head elf,Candy Cames,It’s snows
10/30/2023 13:15:46,Watch it from inside ,Santy clause,Pool,Frosty the snowman,Rudolph,A day off,Socks,Sugsr cookie,Carrots,Dancers,Belt,Snowman,Kids,Dec 1,Jingle bells,Carols,Snowmen,Golden rings,Tape,Wear sunglasses,Balls,Open up pjs,Clothes,Decorate your house,Gas station,Merry christmas ,Peppermint,4,Cook a yummy meal,Grocery store,Dancer,Manger,Snow,Mr freeze,Sleeps,Mother,His elves,My house,Santa ,Mary,Silent night,Fruit cake,Twas the night before christmas,Candy canes,Sleding,No headlights,Cookies,Cookies,Age,The music,Return gifts,Holy night,Valentines,Angel,Knit,Cool whip,Closet,Head elf,Candy canes,Music starts playing 
10/30/2023 22:13:42,Ski,Kris Kringle,Prison,National lampoons Christmas vacation,Dancer,Dry cleaning gift cards,Underwear,Sugar cookie,Chicken wings,Comet,Belt,Snowman,Teacher,Weekend after thanksgiving,Let it snow,Classic rock,Reindeer,Twelve drummers drumming,Tape,Shave his beard off,Football,New pajamas,Babysitter,Advent calendar,Nurse,Happy holidays,Cinnamon nuts,Three,Visit family,Gas station,Games,Donkey,Snow,Leprechaun,Takes a vacation,Spouse,Only works one day,Tree,Constant Sounds of toymaking,Joseph,We wish you a Merry christmas,Lava cake,How the Grinch stole christmas,Candy cane,Sleigh ride,Speeding,Cookies and milk,Reindeer,New clothes,Too many people,Take down the tree,All I want for Christmas is you,Fourth of July,Star,Spa day,Candy cane,Basement,Easter bunny,Candy cane,Halloween stuff leaves stores
10/30/2023 22:54:25,Sledding,Kris Kringle ,In a movie theater,Home alone 1 and 2,Dancer,A vacation,Lump of coal,Chocolate chip,Candy canes ,Blitzen ,Belt ,"Snowball, snow flake","Husband, daughter, son, sister, brother, parents",Black Friday ,Santa clause is coming to town,Here comes Santa Claus ,"Snowman, gingerbread men, candy canes","Partridge in a pear tree, 5 gold rings","Tape, scissors, gift tags, and wrapping paper",Shave his beard ,Soccer ball,Acting out nativity,New soft pjs,Wrapping presents,"Nurse, doctor",Merry Christmas ,"Christmas trees, cinnamon ",2 weeks,Watch others open presents,"McDonald’s, hospital",White elephant gifts,Baby Jesus ,"Polar bears, ice, reindeer ",Elves and reindeer,Goes on vacation ,Grandma and grandpa,Shiny red sleigh,Cookies,The cold ,Mary,Silent night,Cookies,"Christmas lamb, Luke chapter 2","Candy canes, Santa Claus","Sledding, ice skating, arts and crafts ","Speeding, driving with out a license, Broken tail light",Cookies and milk,"Gluten, dairy products",Facebook profile picture,Christmas music,Take a nap,Santa baby ,Valentine’s Day ,"Star, shiny round ornaments","Take a nap, catch up on her favorite tv shows ",Marshmallows ,In unlabeled Rubbermaid containers,"Santa, he’s magic!  Elves, Amazon drivers",Peppermint cookie truffles ,The decorating is done
10/31/2023 7:41:23,Snow angel ,Kris Kringle ,Morgue ,Muppet Christmas carol,Cupid ,Beard conditioner ,Toilet seat,All,Sushi ,Vixen ,Belt,Snow globe ,Best friend ,Thanksgiving ,Here comes Santa Clause,Santa Clause is coming to town ,Snowman,Turtle dove,Tape,Business suit ,Puppy,Game night,Nice kids,Send Christmas cards,Doctor ,Happy Christmas ,Pine,3,Open presents ,Hospital ,Christmas tree ,Wise men ,Power tools ,Easter bunny,Nap ,Best friend ,His jolly personality ,Tree,Snow,Joseph,Silent night,Pie,It was the night before Christmas ,Candy cane,Sledding ,No trailer/sleigh lights,Cookie ,Snow,Profile picture ,Parking ,Clean,12 days of Christmas ,Hanukkah ,Star,Long bath,Peppermint ,Garage ,"He would, he’s vaccinated ",Chocolate orange ,Thanksgiving is over
10/31/2023 9:12:33,Ski,St Nick,Liquor store.,It's a wonderful life ,Prancer,New gloves ,Clothes ,Sugar cookies ,Hot cocoa ,Dancer.,Belt,Snowman ,Your children.,Thanksgiving weekend ,Here Comes Santa Claus ,Rock and roll.,Snowman ,Five golden rings ,Tape,Shave,Bicycle ,Sing Christmas carols,More time.,Shopping for presents.,Doctor,Seasons Greetings,Pine.,4 week.,Stay home and do nothing.,Walmart,Mistletoe ,Baby Jesus ,Santa's workshop ,The elves ,Takes a holiday.,Parents ,Toys he makes.,House,The elves.,The shepherds,We wish you a Merry Christmas.,Cookies ,The Night Before Christmas ,Candy cane,Sleigh riding or tubing.,Over weight.,Cookies,Altitude ,Clothes ,Money ,Exchange or shop,Rock around the Christmas tree.,Halloween ,Lights,Sleep ,Marshmallows,Attic,Mrs Claus ,Peppermint Candy Cane,I put up the tree.
10/31/2023 10:23:14,Make snow angels,Father Christmas,In a mosh pit,It's a Wonderful Life (or Elf),Dasher,A food processor,"""It's an avocado...thaaaaanksss""",Triple chocolate peanut butter,Salad - he's feeling a little chubby after so many cookies,Rudolph,His hat,Snowman,My mom,As soon as Remembrance Day is over,I Want a Hippopotamus For Christmas,Screamo - keeps him awake so he can drive safely,Paw Patrol Christmas edition,11 pipers piping,Scissors,Dress up as James Bond (overstuffed edition),Me,Family dinner,Sleep,Christmas baking,Nurse,Merry Christmas!,Pumpkin pie,The day after Christmas (for next year - gotta be prepared!),Help at a soup kitchen,My house,Mozzarella sticks,Jesus ❤️,Santa. Duh.,"Me, we're best buds",Goes to the bathroom. That was a long sleigh ride.,The guy who lives down the street,How many elves he can lift at the gym,Your boots (for St. Nick to leave something inside),The elves unionising,Mary,God Rest Ye Merry Gentlemen,Cheesecake,The Nativity,My face after I've been outside in the cold,Call Mrs. Claus and profusely apologise,Being on the phone with Mrs. Claus - he doesn’t have Bluetooth yet,A neon sign telling Santa where I am,Milk,A new paint job for his sleigh,Shoveling their driveway,Visit family,Santa Baby,Halloween,An angel,Babysit the baby reindeer,Raspberry syrup,In the attic,Mrs. Claus - that woman is a powerhouse,Andy's Mints,You see a flying reindeer
10/31/2023 13:43:08,Walk,,Jail,It's a Wonderful Life ,Comet,,Underwear,Chocolate Chocolate Chip,,Blitzen,,Snowdrift,Spouse,,,,Snowman ,,,,New car,,,Make sure my wish list is up to date,EMT,Merry Christmas ,Pine,3,,,Cookies,,Santa's workshop,,,,How much he loves giving gifts to good boys and girls.,Cookies,,Innkeeper ,There's No Place Like Home for the Holidays,,,,Ride in his sleigh,Weaving through traffic,Carrots for the reindeer ,,Naughty & Nice list,Ceowded stores,Eat leftovers,,Boxing Day - Canada,,,More chocolate,Closet,Rudolph & Mrs. Claus,,It's after Thanksgiving 
10/31/2023 20:12:02,Sledding,Papa Noel ,Strip club,White Christmas ,Rudolph,New suspenders,A broom/dustpan,Gingerbread,Fudge,Prancer,Belt,Snowflake,Your kids,After thanksgiving,Little st nick,Jingle bell rock ,Santa,5 gold rings,Wrapping paper,Shave,A bike,Acting out the nativity,A nap,Putting up the Christmas tree,Nurse,Happy Holidays,Pine,2,Be with family,Walmart,Games,Manger,Santa’s workshop,Mrs clause,Takes a nap,Mother in law,How many elf friends he has,Ginger bread houses,The sound of little toy hammers,Angel,Jingle bells,Fudge,The night before christmas,Peppermint,Sledding,Drinking egg nog,Cookies,The reindeer,His profile pic,Untangling lights ,Sleep,Last Christmas,Halloween,Star,Bake cookies,Marshmallows, Closet ,The elves,Peppermint,Christmas music plays
10/31/2023 20:28:02,Build a snowman,St nick,On a beach,Charlie Brown Christmas,Rudolph,New boots,Underwear,Gingerbread,Hot chocolate,Prancer,Hat,Snowmobile,Brother,Day after thanksgiving ,Here comes Santa clause ,Christmas music ,Santa clause ,Partridge in a pear tree,Wrapping paper,Shave his beard,Bike,Acting out the nativity,Jewelry,Put up the tree,Doctor,Merry christmas,Pine,3,Unwrap presents,Convenient store,Mistletoe,Baby Jesus ,Snow,Tooth fairy,Sleeps,Mom,Fastest team in town,Cookie,The cold,Shepherds ,Joy to the world,Cookies,Story of the nativity,Candy cane,Sleigh ride,Not using his blinker,Cookies,Snow,His ride ( sled ),Not enough money,Go shopping,Last Christmas,Halloween,Ornaments,Making dinner for when he returns ,Marshmallows ,Closet ,The elves,Candy canes,Christmas music starts to play
11/1/2023 16:45:52,Sled,St nick,A bar,National lampoons Vacation,Blitzen,A vacation,Socks,Oatmeal,Hot chocolate,Blitzen ,Hat,Snowglobe ,Spouse,Thanksgiving,I saw mommy kissing Santa clause,Metal,Tree,Golden rings,Paper,Wear jens,Ball,Watch a movie,Sleep,Decorating the tree,Tow truck driver,Merry Christmas ,Spruce tree,4,Open presents,Chinese restaurant ,Alcohol,Manger,Snow,Tooth fairy,Takes a vacation ,In laws,How big his sleigh is,Cookies,Cold,Mary,Silent night,Yule log,Polar express ,North Pole ,Drive,No blinker ,Tape,Reindeer,Photo,Money,Put away decorations ,Rudolph the red nosed reindeer,Valentines,Tinsel,Worry,Peppermint,Attic,Mrs clause ,Chocolate orange,Christmas music starts playing
11/1/2023 19:42:09,Ice skate ,Saint Nick,The beach,The Santa Clause,Rudolph,Sleep,Vacuum,Chocolate chip,Hot cocoa,Comet,Red hat,Snowman,Spouse,Before Thanksgiving,Rudolph the Red-nosed Reindeer,Jingle Bells,Santa Claus,Partridge in a pear tree,Tape,Wear sunglasses,Car,Leaving out cookies for Santa,Jewelry ,Counting down to Christmas,Doctor,Merry Christmas!,Apple cider ,Two,Spend time with family,Gas station,Music,Baby Jesus,Reindeer,Easter Bunny,Sleeps,Myself,How fast he delivered presents,Tree,Cold,Jesus,White Christmas,Figgy pudding,‘Twas the Night Before Christmas,Candy cane,Ride in the sleigh,Speeding,Stockings,Gifts,His clothes,Cold,Sleep,Santa Baby,Easter,Ornaments ,Sleep,Cream,Closet,Mrs. Claus,Candy canes,Halloween is over
11/4/2023 22:11:49,Ski,Nicholas,bedroom,it's a wonderful life,cupid,the day off,unwanted book,Chocolate Chip,Hot chocolate,donner,suspenders,Snowman,spouse,Black Friday,Santa Claus is coming to town,metal,reindeer,twelve drummers drumming,Tape,Shave his beard,rocking horse,opening one gift,Family peace,advent calendar,Denny's server,Waving,Cinnamon,four ,Be with family,the movie theater,People,donkey,Ice,Mrs clause,parties,mother,The new polish on his sleigh,Tree,Elves,Shepherds,We wish you a Merry Christmas ,shortbread cookies,Luke chapter 2,Flag,Cookie tasting,Littering (road apples),stockings,plant-based milks,Facebook profile,Commercialization ,returns,all I want for Christmas is you,Halloween ,ornaments,Sleep,Marshmallows,attic,the middle manager elf ,chocolate orange,first snow
11/5/2023 5:00:48,Snowman,Jolly old st Nicholas ,A restaurant ,The Santa claus,Dancer,Family pictures ,Underwear ,Chocolate chip,Chips and salsa ,Dasher,Santa’s hat,Snowshoeing ,Parents,Between Halloween and thanksgiving ,Here comes Santa Claus ,Reggae ,Snow flakes,Five golden rings,Tape,Put on a tropical shirt ,A bike,Christmas caroling ,Some alone time,Rushing to get the rest of your gifts ,Healthcare ,Wave,Cinnamon ,2,Be with my family ,Hospital ,Eggnog ,Donkey ,Elves,Mrs claus,Sits by the fire with mrs claus and has hot chocolate ,The person that already has it all,How fast the slay can go,The house,The cold,The shepherds,We wish you a merry Christmas ,Figgy pudding,The night before Christmas ,Candy cane,Go to the beach,Dropping things off the back,Cookies and milk,Cotton ,Trim his beard,Snow,Unwrap one present ,Jingle bells,Easter,Lights ,Make cookies ,Peppermint ice cream ,Closet ,The elves ,Peppermint bark,You start singing carols 
11/5/2023 20:18:49,Build a snowman,St. Nick,Swimming pool,Elf,Prancer,Sweat pants,A scale ,Sugar,Candy corns,Rudolph ,Belt,Snowman,Spouse,Nov 6,Jingle Bells,Rock ,Wreaths,Partridge in a pear tree,Tape,Wear a baseball cap,Skateboard ,Opening pajamas,Chocolate,Listen to Christmas music,Grocery store,Merry Christmas ,Pine tree,2,Open presents ,Chinese restaurant ,Santa,Manger,Elves,The tooth fairy,Goes to bed,Parents ,How fast he delivers the gifts ,Tree,Elves,Shepards,Away in a manger,Cookies ,Twas the night before Christmas,Candy Cane ,Snow Angels,Going too slow,Carrots for reindeer,Dogs,His sleigh,Commercialization ,Shop for discounted Christmas stuff,All I want for Christmas ,Halloween ,Star,What a show on Netflix,Marshmallows,Attic,Mrs. Claus,Candy Canes ,You put up the tree
11/5/2023 20:35:06,Sled,Kris Kringle ,,The grinch,Cupid,Sleigh polish ,Socks ,Sugar,Beef jerkey,Dasher,Hat,Snowflake,Son/daughter,Day after thanksgiving ,Up on the housetop,Rock and roll,Snowman,5 golden rings ,Tapr,Shave ,Pogo stick ,Caroling ,The family all together ,Gift shopping ,Pastor,Ho ho ho,Pine,3,Eat food,Urgent care,Food,Angel,Snow,The Easter bunny ,Sleeps,Dad,His beard ,House,Snow,Jesus ,Silent night ,Figgy pudding ,Jesus birth ,Santa hat,Fly reindeer ,Reckless driving ,Cookies,Gluten ,,Mail delivery ,Sleep/recover,Jingle bell rock ,Halloween,Star,Take a bath,Candy cane ,Closet,Elfs,Candy canes ,The tree is ip
11/5/2023 20:36:59,Ski,Kris Kringle,Jail,Elf,Prancer ,Air Jordans,Socks,Pumpkin Chocolate chip,Tacos ,Blitzen,Hat,Snowflake ,Spouse,After thanksgiving ,Run Run Rudolph ,80’s soft rock,Trees,5 golden rings,Tape,Wear a different outfit,Bike,Open a present ,Clothes ,Shopping,Nurse,Happy Holidays ,Ham,6,Eat ,Convenience store/gas station,Food,Mary,Snow ,Mrs. Clause,Goes on vacation to somewhere warm,Parent,Working 1 day a year,Tree,Cold,Baby Jesus,We wish you a merry Christmas ,Pumpkin roll,Night before Christmas ,Santa’s suit,Bowling ,Tailgating,Cookies,Reindeer,His fitness,Too commercialized ,Movies,Mariah Carey All I want for Christmas ,Halloween ,Lights,Hallmark movie,Marshmallows ,Under the tree,Mrs claus,Candy canes ,Black Friday
11/5/2023 21:02:59,Sled,Father Christmas,A Haunted house,White Christmas,Comet ,Heated gloves,Coal,Cookies....🤣,Fruit cake,Blitzen,Buttons,Snowmobile ,Spouse,First couple weeks of November,Your a mean one Mr. Grinch,Rock and Roll,Snowman,4 calling birds ,Tape,Dress as a turkey🤣,Anything round ,PJs,Tape,Counting down to Christmas,ER Nurse,Carol,Cinnamon ,3,Watch the magic in my children's eyes!,Hospital,Fruit cake ,Donkey,Snow,Easter Bunny,Sleeps,Parents,His followers ,Gingerbread house,Cold,Angels,Hark the Harold Angels Sing,Hot Chocolate,The Nativity,Candy canes,Eat cookies,Speeding,Carrots ,Reindeer ,His Cologne ,Traffic,Clean,Little drummer boy,Halloween ,Tinsel,Sleep,Marshmallow fluff,Underwear drawer,Head Elf,Peppermint sticks,Halloween is over🤣
